"RUN_ID","RUN_TIMESTAMP","TEST_NAME","BROWSER","SPEC_FILE","STATUS","CATEGORY","DURATION_MS","FLAKY","RETRIES"
"run_1785053111997","2026-07-26T08-05-11-995Z","Verify Login Page","chromium","e2e\Login.spec.js","skipped","Skipped Tests","1","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Invalid User With Space","chromium","e2e\Login.spec.js","skipped","Skipped Tests","0","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Valid User Invalid Password","chromium","e2e\Login.spec.js","skipped","Skipped Tests","1","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Invalid User Valid Password","chromium","e2e\Login.spec.js","skipped","Skipped Tests","0","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Valid Login","chromium","e2e\Login.spec.js","skipped","Skipped Tests","1","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Authenticate and save state","setup","setup\auth.setup.js","passed","Passed Tests","7969","false","1"
"run_1785053111997","2026-07-26T08-05-11-995Z","Valid User Invalid Password","mobile-chrome","e2e\Login.spec.js","passed","Passed Tests","13366","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Invalid User Valid Password","mobile-chrome","e2e\Login.spec.js","passed","Passed Tests","13782","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Verify Login Page","mobile-chrome","e2e\Login.spec.js","passed","Passed Tests","14467","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Invalid User With Space","mobile-chrome","e2e\Login.spec.js","passed","Passed Tests","13006","false","0"
"run_1785053111997","2026-07-26T08-05-11-995Z","Valid Login","mobile-chrome","e2e\Login.spec.js","passed","Passed Tests","7974","false","0"
